idcar_200m,ind,men,men_pauv,men_1ind,men_5ind,men_prop,men_fmp,ind_snv,men_surf,men_coll,men_mais,log_av45,log_45_70,log_70_90,log_ap90,log_inc,log_soc,ind_0_3,ind_4_5,ind_6_10,ind_11_17,ind_18_24,ind_25_39,ind_40_54,ind_55_64,ind_65_79,ind_80p,ind_inc,geometry,h3_index
CRS3035RES200mN2888200E3757200,1331.5,784.0,102.0,465.0,17.0,325.0,48.0,54188909.7,38256.0,778.0,6.0,481.0,178.0,123.0,2.0,0.0,0.0,58.0,28.0,55.5,57.0,87.0,422.0,230.0,138.0,177.0,79.0,0.0,"POLYGON ((2.305544 48.841774, 2.305266 48.843562, 2.307978 48.84375, 2.308256 48.841962, 2.305544 48.841774))",891fb4670c3ffff
CRS3035RES200mN2888400E3757200,901.5,537.0,50.0,307.0,9.0,228.0,20.0,39323449.3,29787.0,533.0,4.0,319.0,96.0,96.0,26.0,0.0,0.0,29.0,10.5,22.5,35.5,60.0,308.0,128.0,93.0,145.0,70.0,0.0,"POLYGON ((2.305266 48.843562, 2.304988 48.84535, 2.3077 48.845537, 2.307978 48.84375, 2.305266 48.843562))",891fb4670d7ffff
CRS3035RES200mN2888400E3757000,2134.5,1083.0,111.0,525.0,64.0,404.0,67.0,98922617.4,72226.0,1062.0,21.0,200.0,30.0,805.0,48.0,0.0,0.0,75.5,40.5,113.5,151.0,163.0,431.0,390.0,238.0,350.0,182.0,0.0,"POLYGON ((2.302554 48.843374, 2.302276 48.845162, 2.304988 48.84535, 2.305266 48.843562, 2.302554 48.843374))",891fb4670d3ffff
CRS3035RES200mN2888400E3756600,1769.5,936.0,153.0,507.0,47.0,209.0,111.0,52221668.5,51193.0,931.0,5.0,306.0,137.0,415.0,78.0,0.0,507.0,60.0,27.0,71.5,132.5,153.5,367.0,333.0,229.0,283.0,106.0,7.0,"POLYGON ((2.297131 48.842999, 2.296852 48.844787, 2.299564 48.844974, 2.299842 48.843187, 2.297131 48.842999))",891fb4676a7ffff
CRS3035RES200mN2888400E3756800,628.0,374.0,53.0,230.0,15.0,145.0,14.0,24778361.4,19460.0,373.0,1.0,217.0,0.0,150.0,7.0,0.0,9.0,22.0,8.0,26.0,36.0,39.0,207.0,101.0,64.0,81.0,44.0,0.0,"POLYGON ((2.299842 48.843187, 2.299564 48.844974, 2.302276 48.845162, 2.302554 48.843374, 2.299842 48.843187))",891fb4670d3ffff
CRS3035RES200mN2888200E3756800,1991.5,1085.0,121.0,552.0,28.0,371.0,71.0,77900095.5,58026.0,1079.0,6.0,747.0,135.0,153.0,50.0,0.0,144.0,95.0,33.0,71.0,103.5,129.0,578.0,356.0,218.0,295.0,113.0,0.0,"POLYGON ((2.300121 48.841399, 2.299842 48.843187, 2.302554 48.843374, 2.302833 48.841587, 2.300121 48.841399))",891fb4670dbffff
CRS3035RES200mN2888200E3756600,1304.5,739.0,68.0,392.0,17.0,111.0,71.0,43201872.1,38874.0,736.0,3.0,525.0,50.0,8.0,155.0,1.0,464.0,53.0,17.0,53.5,59.5,67.5,318.0,255.0,176.0,205.0,100.0,0.0,"POLYGON ((2.297409 48.841211, 2.297131 48.842999, 2.299842 48.843187, 2.300121 48.841399, 2.297409 48.841211))",891fb4676afffff
CRS3035RES200mN2888200E3756400,1063.0,605.0,58.0,335.0,14.0,140.0,43.0,37658777.3,30041.0,605.0,0.0,461.0,0.0,73.0,71.0,0.0,244.0,55.5,23.0,31.5,45.0,73.0,292.0,213.0,111.0,148.0,71.0,0.0,"POLYGON ((2.294697 48.841023, 2.294419 48.842811, 2.297131 48.842999, 2.297409 48.841211, 2.294697 48.841023))",891fb4676afffff
CRS3035RES200mN2888400E3756400,1930.0,1120.0,148.0,617.0,23.0,392.0,95.0,69860020.8,55108.0,1102.0,18.0,826.0,45.0,36.0,213.0,0.0,222.0,57.5,38.0,73.0,93.0,121.5,627.0,334.0,215.0,247.0,124.0,0.0,"POLYGON ((2.294419 48.842811, 2.29414 48.844599, 2.296852 48.844787, 2.297131 48.842999, 2.294419 48.842811))",891fb4676a3ffff
CRS3035RES200mN2888400E3756200,1218.5,729.0,100.0,432.0,15.0,279.0,34.0,47440608.1,35415.0,714.0,15.0,526.0,133.0,17.0,53.0,0.0,0.0,45.0,12.5,36.5,59.0,119.5,451.0,205.0,118.0,114.0,58.0,0.0,"POLYGON ((2.291707 48.842623, 2.291428 48.844411, 2.29414 48.844599, 2.294419 48.842811, 2.291707 48.842623))",891fb4676a3ffff
